year,published_dpird,omega_base,omega_M_0_09,omega_M_0_13,omega_post_2023_retention_300
1975,0.5194029850746269,1.1080000000000003,0.7380001762768077,1.0160000000000002,0.820561038076709
1976,0.5253731343283582,1.085605809007089,0.719738793235659,0.9931965970152092,0.7998545699992169
1977,0.5223880597014925,1.0595594544269569,0.6983604000682483,0.9668695621729644,0.7757777385382971
1978,0.5223880597014925,1.0324052040324836,0.6760041457567083,0.9396914219090454,0.7507906381265632
1979,0.5104477611940299,0.9997075213620296,0.6494456499532186,0.9072941077306332,0.7212066737926469
1980,0.4985074626865671,0.9658817274184444,0.6230697855391356,0.8744826252400522,0.6919231686605176
1981,0.4865671641791044,0.9330903394716512,0.5994069767082342,0.8437015349179935,0.6656704587194828
1982,0.4776119402985074,0.9048039058927536,0.581462416325923,0.818501865436426,0.6457584900785753
1983,0.4626865671641791,0.8736668870114267,0.5629245091811442,0.7911897091739469,0.6249668812152691
1984,0.4477611940298507,0.8412729291176938,0.5446067487193608,0.7632094041811723,0.604246914809252
1985,0.4328358208955223,0.8062447711233404,0.5248962237160353,0.7329673487273788,0.5818086722926861
1986,0.4104477611940298,0.7635045206483884,0.4991394727146113,0.6951005666497514,0.5524334421037476
1987,0.3970149253731343,0.7271877431144461,0.4785851445425831,0.6640027024742827,0.528989927033622
1988,0.3880597014925373,0.6956834390184167,0.4617479615505899,0.6379121003085753,0.5098020797370345
1989,0.3761194029850746,0.6659728372557631,0.4460120922162606,0.613635073645124,0.4919067932289146
1990,0.3611940298507463,0.6364125744249731,0.4299001933565721,0.5894080489480935,0.473642878897574
1991,0.3492537313432836,0.6083120582268037,0.4144020826679219,0.5665245971271472,0.4561554377128289
1992,0.3343283582089552,0.5819665645862828,0.399725084684986,0.5452536026352519,0.4396889436524705
1993,0.3253731343283582,0.5602443934889454,0.3882514899217258,0.5285307581172354,0.4269540554175974
1994,0.3134328358208955,0.5410200157981284,0.3782864912866145,0.5141582686084175,0.4160062962831931
1995,0.3014925373134328,0.5215650197914634,0.3676082259259082,0.499321226911796,0.4043088955377087
1996,0.2925373134328358,0.5021604778909712,0.3564542106593328,0.4843135367157023,0.3921362737034042
1997,0.2865671641791045,0.4780815291314608,0.340920061155628,0.4642842074647774,0.3750508445163299
1998,0.2805970149253731,0.4508405483600831,0.3221990740669015,0.4408187742684409,0.3544412898345344
1999,0.2776119402985074,0.4258270322125374,0.3047273271039454,0.4195056649621454,0.3353830492478213
2000,0.2776119402985074,0.4009845979200876,0.2868613536193069,0.3982617245557602,0.316000076618292
2001,0.2746268656716418,0.3731729829863366,0.2660215348319941,0.3738778461572917,0.2933477681647238
2002,0.2656716417910448,0.3397570899367773,0.239983751196679,0.343659672818008,0.2648858598713727
2003,0.2537313432835821,0.3341515301164975,0.2363248662322313,0.3420746737041362,0.2621328288395387
2004,0.2462686567164179,0.3307405307764627,0.2343085531729327,0.342708766615442,0.2613081218472082
2005,0.2238805970149253,0.3273645157704094,0.2321934003571503,0.3432995881520673,0.2603839003018856
2006,0.2029850746268656,0.2948546651436342,0.2058286684283394,0.3138499485008341,0.2317462384874078
2007,0.1731343283582089,0.2637536184080186,0.1799684625554814,0.2858838617943353,0.2037722224898983
2008,0.1462686567164179,0.2377398324029835,0.1576244258057966,0.2632747428145134,0.1799385414016489
2009,0.1253731343283582,0.2213633318770704,0.1426102353718437,0.2507641985888539,0.164645589900515
2010,0.1134328358208955,0.2123279899952063,0.1331626939835165,0.2460009217557092,0.1558905808461477
2011,0.1104477611940298,0.2150315414336333,0.1330905916497005,0.2534246683272727,0.1580397490313366
2012,0.1104477611940298,0.2207308185570207,0.1353480488290198,0.2639502014197104,0.1629657486096481
2013,0.1104477611940298,0.2292119029445004,0.1398248098597926,0.2772667929773884,0.1704968130257459
2014,0.1164179104477611,0.2379194508134157,0.1444462288521153,0.2907017875455914,0.1782249046376276
2015,0.1194029850746268,0.2477384271870512,0.1499648843397274,0.3051305375565049,0.1869960984774557
2016,0.1223880597014925,0.2571355954829032,0.1551406101039372,0.3189808675130574,0.195397166934076
2017,0.1313432835820895,0.2656798835247073,0.1596328702692757,0.3318260003472136,0.2030595755382254
2018,0.1462686567164179,0.2729875934791951,0.1631374080027288,0.3432926525936987,0.2096610662301059
2019,0.1492537313432835,0.2865075859843966,0.1718762861234583,0.3609215713311711,0.222258921977703
2020,0.1522388059701492,0.2919423937150658,0.1740949898097276,0.370155401719819,0.2274835123717609
2021,0.1552238805970149,0.2976903258589727,0.1766468738801479,0.3795938001001014,0.2331642238628333
2022,0.1522388059701492,0.3061496401515665,0.1815575742494122,0.3916396155654158,0.2415743697201509
2023,0.1462686567164179,0.3153370527263471,0.1872485238435131,0.4042304625617681,0.2508807828819347
2024,0.1492537313432835,0.3267208561559416,0.1949771457024386,0.418818120326035,0.2632718814898516
